CUJET3 predictions on v2 @ 30-50% 5.02 TeV Pb+Pb collisions.
pT(GeV)	H_v2	v2[D meson]	v2[charm quark]

8	0.870064	0.095407	0.109655
9	0.874137	0.090183	0.103168
10	0.876878	0.085690	0.097722
11	0.878768	0.081784	0.093067
12	0.880113	0.078355	0.089028
13	0.881113	0.075320	0.085482
14	0.881899	0.072612	0.082336
15	0.882556	0.070182	0.079521
16	0.883141	0.067986	0.076982
17	0.883688	0.065991	0.074677
18	0.884222	0.064170	0.072573
19	0.884756	0.062500	0.070641
20	0.885296	0.060961	0.068860
21	0.885848	0.059538	0.067211
22	0.886410	0.058218	0.065678
23	0.886982	0.056988	0.064249
24	0.887561	0.055838	0.062912
25	0.888145	0.054761	0.061658
26	0.888729	0.053749	0.060478
27	0.889312	0.052795	0.059366
28	0.889890	0.051894	0.058315
29	0.890459	0.051041	0.057320
30	0.891018	0.050232	0.056376
31	0.891563	0.049463	0.055479
32	0.892094	0.048731	0.054625
33	0.892609	0.048032	0.053811
34	0.893105	0.047364	0.053033
35	0.893584	0.046725	0.052290
36	0.894044	0.046113	0.051578
37	0.894485	0.045525	0.050895
38	0.894907	0.044961	0.050240
39	0.895311	0.044417	0.049611
40	0.895696	0.043895	0.049006
41	0.896065	0.043391	0.048423
42	0.896418	0.042904	0.047862
43	0.896757	0.042435	0.047321
44	0.897081	0.041981	0.046798
45	0.897393	0.041543	0.046293
46	0.897694	0.041118	0.045804
47	0.897985	0.040707	0.045332
48	0.898268	0.040309	0.044874
49	0.898543	0.039923	0.044431
50	0.898814	0.039549	0.044001
51	0.899079	0.039186	0.043584
52	0.899342	0.038833	0.043179
53	0.899603	0.038491	0.042786
54	0.899863	0.038158	0.042404
55	0.900123	0.037834	0.042033
56	0.900384	0.037520	0.041671
57	0.900647	0.037214	0.041319
58	0.900912	0.036916	0.040976
59	0.901180	0.036626	0.040642
60	0.901452	0.036344	0.040317
61	0.901728	0.036069	0.040000
62	0.902007	0.035801	0.039690
63	0.902291	0.035539	0.039388
64	0.902579	0.035284	0.039093
65	0.902871	0.035036	0.038805
66	0.903168	0.034793	0.038523
67	0.903468	0.034556	0.038248
68	0.903772	0.034324	0.037979
69	0.904079	0.034098	0.037715
70	0.904389	0.033877	0.037458
71	0.904701	0.033660	0.037206
72	0.905016	0.033449	0.036959
73	0.905332	0.033241	0.036717
74	0.905650	0.033039	0.036481
75	0.905969	0.032840	0.036249
76	0.906289	0.032646	0.036021
77	0.906610	0.032455	0.035799
78	0.906932	0.032269	0.035580
79	0.907255	0.032086	0.035366
80	0.907579	0.031906	0.035155
81	0.907906	0.031730	0.034949
82	0.908234	0.031558	0.034746
83	0.908567	0.031388	0.034547
84	0.908904	0.031222	0.034352
85	0.909248	0.031060	0.034160
86	0.909601	0.030900	0.033971
87	0.909964	0.030744	0.033786
88	0.910340	0.030591	0.033604
89	0.910733	0.030441	0.033424
90	0.911146	0.030294	0.033248
91	0.911583	0.030151	0.033075
92	0.912050	0.030011	0.032905
93	0.912550	0.029874	0.032737
94	0.913091	0.029742	0.032572
95	0.913679	0.029612	0.032410
96	0.914320	0.029487	0.032250
97	0.915024	0.029366	0.032093
98	0.915799	0.029249	0.031938
99	0.916655	0.029136	0.031786
100	0.917603	0.029029	0.031635
