	R_AA^Q (T_H)	R_AA^H_Q (T_H)	R_AA^H_Q (freeze-out)			H_AA (T_H)	H_AA (freeze-out/T_H)
1	9.61E-01	8.62E-01	7.94E-01		1	8.97E-01	9.22E-01
3	6.18E-01	7.60E-01	7.89E-01		3	1.23E+00	1.04E+00
5	3.90E-01	4.45E-01	3.99E-01		5	1.14E+00	8.95E-01
7	3.34E-01	3.62E-01	2.86E-01		7	1.08E+00	7.90E-01
9	3.07E-01	3.68E-01	2.78E-01		9	1.20E+00	7.54E-01
11	3.19E-01	3.77E-01	3.07E-01		11	1.18E+00	8.14E-01
13	3.28E-01	3.85E-01	3.26E-01		13	1.17E+00	8.47E-01
15	3.31E-01	3.93E-01	3.19E-01		15	1.19E+00	8.11E-01
17	3.68E-01	4.53E-01	2.47E-01		17	1.23E+00	5.45E-01
19	3.28E-01	3.45E-01	2.49E-01		19	1.05E+00	7.22E-01
							
							
							
	v2^Q (T_H)	v2^H_Q (T_H)	v2^H_Q (freeze-out)			H_AA (T_H)	H_AA (freeze-out/T_H)
1	0.05426	0.05172	3.71E-02		1	0.953188352	7.18E-01
3	0.10575	0.11563	1.31E-01		3	1.093427896	1.13E+00
5	0.07306	0.10796	1.39E-01		5	1.47768957	1.29E+00
7	0.07061	0.04553	5.08E-02		7	0.644809517	1.12E+00
9	0.04171	0.06564	3.79E-02		9	1.573723328	5.77E-01
11	0.02466	0.00885	5.28E-02		11	0.358880779	5.97E+00
13	0.00373	-0.02935	-6.23E-02		13	-7.868632708	2.12E+00
15	0.03608	0.07574	2.64E-02		15	2.099223947	3.48E-01
17	-0.02868	-0.08539	1.74E-02		17	2.977336123	-2.03E-01
19	0.15515	0.06219	-3.69E-02		19	0.400837899	-5.94E-01
							
							
							
							
							
							
							
							
							
							
