	R_AA^Q (T_H)	R_AA^H_Q (T_H)	R_AA^H_Q (freeze-out)			H_AA (T_H)	H_AA (freeze-out/T_H)
0.5	0.973743009	0.776717139	0.688841643		0.5	0.797661325	0.886862937
1.5	0.952257515	0.946447113	0.898758354		1.5	0.993898286	0.949612865
2.5	0.688781846	0.830422068	0.866214415		2.5	1.205638728	1.043101392
3.5	0.492936121	0.616477011	0.63188659		3.5	1.250622513	1.024996194
4.5	0.406095696	0.467549641	0.431296978		4.5	1.151328727	0.922462429
5.5	0.362949423	0.404829033	0.338690401		5.5	1.115386903	0.836625768
6.5	0.333554562	0.361767971	0.288831672		6.5	1.084584088	0.798389286
7.5	0.335281484	0.361310759	0.280443101		7.5	1.077634098	0.776182533
8.5	0.299183701	0.370032645	0.287467784		8.5	1.236807501	0.776871412
9.5	0.318907383	0.365488789	0.262430635		9.5	1.146065623	0.718026499
10.5	0.330103165	0.340207758	0.285707554		10.5	1.03061041	0.839803171
11.5	0.301796763	0.432564872	0.338653303		11.5	1.433298581	0.782895988
12.5	0.318043002	0.376838158	0.30830776		12.5	1.184865427	0.818143686
13.5	0.343644631	0.397211873	0.352367738		13.5	1.155879759	0.887102732
14.5	0.340772211	0.395308138	0.350387317		14.5	1.160036308	0.886365048
15.5	0.316062673	0.390542809	0.273382502		15.5	1.235649897	0.700006493
16.5	0.378337088	0.459730157	0.194494875		16.5	1.215133729	0.423063121
17.5	0.353867491	0.442574774	0.319643345		17.5	1.25067938	0.722235797
18.5	0.373220836	0.405713856	0.236657247		18.5	1.087061111	0.583310732
19.5	0.265798004	0.265164314	0.265164314		19.5	0.997615897	1
							
							
							
	v2^Q (T_H)	v2^H_Q (T_H)	v2^H_Q (freeze-out)			H_AA (T_H)	H_AA (freeze-out/T_H)
0.5	0.0169	0.02378	1.15E-02		0.5	1.407100592	4.86E-01
1.5	0.08094	0.0744	5.65E-02		1.5	0.919199407	7.60E-01
2.5	0.10879	0.11378	1.19E-01		2.5	1.045868186	1.05E+00
3.5	0.09829	0.1207	1.63E-01		3.5	1.227998779	1.35E+00
4.5	0.07023	0.11258	1.56E-01		4.5	1.603018653	1.39E+00
5.5	0.07842	0.09823	1.00E-01		5.5	1.252614129	1.02E+00
6.5	0.0866	0.05004	5.53E-02		6.5	0.577829099	1.11E+00
7.5	0.04512	0.03781	4.29E-02		7.5	0.837987589	1.13E+00
8.5	0.00269	0.0932	7.53E-02		8.5	34.64684015	8.08E-01
9.5	0.09794	0.0211	-2.76E-02		9.5	0.215438023	-1.31E+00
10.5	0.01326	0.02099	8.99E-02		10.5	1.582956259	4.29E+00
11.5	0.04297	-0.00561	5.36E-03		11.5	-0.130556202	-9.55E-01
12.5	0.03858	-0.11896	-9.14E-02		12.5	-3.083462934	7.68E-01
13.5	-0.04301	0.09783	-2.42E-02		13.5	-2.274587305	-2.47E-01
14.5	-0.02219	0.13916	6.76E-02		14.5	-6.271293375	4.86E-01
15.5	0.12445	-0.01728	-5.02E-02		15.5	-0.138850944	2.91E+00
16.5	0.00367	-0.19105	1.13E-01		16.5	-52.05722071	-5.92E-01
17.5	-0.07503	0.06722	-6.36E-02		17.5	-0.895908303	-9.46E-01
18.5	0.09813	0.15183	1.69E-01		18.5	1.547233262	1.11E+00
19.5	0.26539	-0.11708	-2.77E-01		19.5	-0.441162063	2.37E+00
