	R_AA^Q (T_H)			v2^Q (T_H)
0.5	1.155740244		0.5	0.02389
1.5	1.043695545		1.5	0.1035
2.5	0.568789496		2.5	0.15781
3.5	0.289429278		3.5	0.15192
4.5	0.185582365		4.5	0.1361
5.5	0.148240775		5.5	0.09235
6.5	0.135009276		6.5	0.05381
7.5	0.128211832		7.5	0.10015
8.5	0.119538926		8.5	0.12099
9.5	0.106235708		9.5	0.0848
10.5	0.104527887		10.5	0.02777
11.5	0.119563319		11.5	0.04992
12.5	0.123556094		12.5	0.06067
13.5	0.130016636		13.5	0.0864
14.5	0.130819603		14.5	-0.05937
15.5	0.154440712		15.5	0.04678
16.5	0.104035916		16.5	-0.19055
17.5	0.186296815		17.5	0.39198
18.5	0.142989218		18.5	0.05644
19.5	0.178160618		19.5	0.37878
