Ds2piT vs T/Tc, from Kyle-U-pot-full-T-matrix*2 = 1.6-K-factor on top of PLB735(2014)

    T(GeV)         T/Tc           Ds2piT

  0.1960000       1.000000       1.841848    
  0.2156000       1.100000       2.185949    
  0.2352000       1.200000       2.553543    
  0.2548000       1.300000       3.048872    
  0.2744000       1.400000       3.532192    
  0.2940000       1.500000       3.989511    
  0.3136000       1.600000       4.409348    
  0.3332000       1.700000       4.793136    
  0.3528000       1.800000       5.104329    
  0.3724000       1.900000       5.315040    
  0.3920000       2.000000       5.427774    
